mz;rt;intensity;pcgroup_precursorMZ
225.1108324;1188.487524;3.583956563;8 _ 696.38272
227.0509524;1188.914818;4.501289898;8 _ 696.38272
341.1956578;1188.458646;11.70282263;8 _ 696.38272
342.1977625;1188.571418;2.699903254;8 _ 696.38272
457.2802374;1188.471966;18.79182938;8 _ 696.38272
458.2833919;1188.471966;4.979827972;8 _ 696.38272
696.38272;1188.550358;9.313731048;8 _ 696.38272
133.0880233;1186.552044;2.02304018;8 _ 701.3381762
140.0525982;1188.759025;2.394228777;8 _ 701.3381762
145.0490433;1188.528757;1.906473053;8 _ 701.3381762
227.0509524;1188.914818;4.278716767;8 _ 701.3381762
245.0616423;1188.098502;2.328396983;8 _ 701.3381762
265.1041376;1188.21729;1.716700458;8 _ 701.3381762
341.1956578;1188.458646;3.472104466;8 _ 701.3381762
371.0965607;1187.695862;1.328939236;8 _ 701.3381762
381.1868896;1188.445824;8.140713857;8 _ 701.3381762
382.1898957;1188.417061;1.820094748;8 _ 701.3381762
497.2708802;1188.445824;23.9344103;8 _ 701.3381762
498.2743902;1188.479804;6.346409905;8 _ 701.3381762
585.2522684;1188.417061;5.063995693;8 _ 701.3381762
586.2555042;1188.542548;1.799627827;8 _ 701.3381762
701.3381762;1188.452468;100;8 _ 701.3381762
97.02798526;1052.779279;90.01563131;9 _ 205.070678
99.07931199;1053.351471;5.190680989;9 _ 205.070678
127.0386982;1053.305846;20.41821066;9 _ 205.070678
139.0389127;1052.798301;100;9 _ 205.070678
187.0599525;1052.779279;3.466093935;9 _ 205.070678
97.02798526;1052.779279;54.83816281;9 _ 668.3512253
98.03132507;1051.409315;3.02870451;9 _ 668.3512253
99.07931199;1053.351471;3.288163383;9 _ 668.3512253
127.0386982;1053.305846;12.43891915;9 _ 668.3512253
139.0389127;1052.798301;60.92071122;9 _ 668.3512253
145.0518333;1053.922419;1.820956618;9 _ 668.3512253
187.0599525;1052.779279;6.0199676;9 _ 668.3512253
205.070678;1052.786975;100;9 _ 668.3512253
206.0742337;1052.863165;8.202065114;9 _ 668.3512253
207.0751384;1051.640136;1.865039613;9 _ 668.3512253
225.1107704;1052.882595;2.982237226;9 _ 668.3512253
313.1641142;1052.863165;10.9246394;9 _ 668.3512253
314.1669832;1052.724446;2.705018005;9 _ 668.3512253
341.1953596;1053.423699;2.368850254;9 _ 668.3512253
429.2479934;1052.803851;18.11815305;9 _ 668.3512253
430.2516956;1052.895764;4.17764307;9 _ 668.3512253
668.3512253;1052.806527;11.75903669;9 _ 668.3512253
145.0518333;1053.922419;1.795000419;9 _ 673.3063527
227.0511966;1052.179902;3.200507475;9 _ 673.3063527
245.0599784;1053.2197;1.696259853;9 _ 673.3063527
353.1551703;1052.174898;1.900589597;9 _ 673.3063527
354.1588153;1053.65931;1.319117582;9 _ 673.3063527
381.1866201;1052.773792;1.320120316;9 _ 673.3063527
469.2400555;1052.831716;18.01638054;9 _ 673.3063527
470.2432171;1052.688133;2.804404614;9 _ 673.3063527
557.2197027;1053.099422;2.684068581;9 _ 673.3063527
659.326031;1054.509524;1.017955751;9 _ 673.3063527
673.3063527;1052.764256;100;9 _ 673.3063527
659.326031;1054.509524;100;9 _ 689.279941
117.0332598;268.4236926;37.41766346;10 _ 472.2437099
123.0438882;268.3819895;21.91280509;10 _ 472.2437099
165.0530729;268.4236926;66.6297522;10 _ 472.2437099
223.1155197;269.7546878;60.73154401;10 _ 472.2437099
239.1375078;269.3137778;34.86645642;10 _ 472.2437099
293.1849451;269.0682218;81.40732376;10 _ 472.2437099
310.2113657;269.0365629;100;10 _ 472.2437099
311.2136987;269.0113429;35.27999027;10 _ 472.2437099
472.2437099;269.1177464;90.16495063;10 _ 472.2437099
227.9558969;36.5143854;100;11 _ 1201.443941
974.8191069;36.5143854;35.34360156;11 _ 1201.443941
227.9558969;36.5143854;100;11 _ 1201.77476
974.8191069;36.5143854;35.34360156;11 _ 1201.77476
227.9558969;36.5143854;100;11 _ 1269.431483
227.9558969;36.5143854;49.01371009;11 _ 430.915791
294.9404488;36.5143854;100;11 _ 430.915791
227.9558969;36.5143854;49.01371009;11 _ 873.8383588
294.9404488;36.5143854;100;11 _ 873.8383588
499.9076028;36.42803253;18.71653052;11 _ 873.8383588
567.8958062;36.42803253;22.25934159;11 _ 873.8383588
227.9558969;36.5143854;75.9583161;11 _ 907.3284018
294.9404488;36.5143854;100;11 _ 907.3284018
499.9076028;36.42803253;18.71653052;11 _ 907.3284018
567.8958062;36.42803253;22.25934159;11 _ 907.3284018
227.9558969;36.5143854;49.01371009;11 _ 930.4938757
294.9404488;36.5143854;100;11 _ 930.4938757
499.9076028;36.42803253;18.71653052;11 _ 930.4938757
567.8958062;36.42803253;22.25934159;11 _ 930.4938757
227.9558969;36.5143854;100;11 _ 953.1560317
227.9558969;36.5143854;49.01371009;11 _ 975.8218907
294.9404488;36.5143854;100;11 _ 975.8218907
499.9076028;36.42803253;18.71653052;11 _ 975.8218907
567.8958062;36.42803253;22.25934159;11 _ 975.8218907
974.8191069;36.5143854;43.45642655;11 _ 975.8218907
100.0746605;286.4883192;2.432475131;12 _ 472.2437745
123.044513;287.7324219;13.73548238;12 _ 472.2437745
135.0455243;287.1103705;3.003931772;12 _ 472.2437745
145.0286487;289.3699849;10.13574009;12 _ 472.2437745
163.0385421;288.5438154;85.34203451;12 _ 472.2437745
164.0431192;287.1376778;5.074752392;12 _ 472.2437745
165.0534504;287.5457676;9.465779745;12 _ 472.2437745
222.111497;287.7378994;57.15549252;12 _ 472.2437745
223.1142987;287.6877932;7.508159345;12 _ 472.2437745
234.111666;288.3942432;8.818951206;12 _ 472.2437745
235.1126736;287.2564449;2.234164424;12 _ 472.2437745
239.1376152;287.1172915;3.960471614;12 _ 472.2437745
293.1843824;288.0098514;8.921965752;12 _ 472.2437745
294.1873861;287.4303342;2.83431915;12 _ 472.2437745
310.2122639;288.0615934;12.66732147;12 _ 472.2437745
311.2140232;287.380228;3.247932086;12 _ 472.2437745
472.2437745;288.0098514;100;12 _ 472.2437745
98.03069172;1115.182153;4.635190362;13 _ 205.070541
99.0800219;1114.869848;5.036395418;13 _ 205.070541
127.0384291;1115.182153;13.43260765;13 _ 205.070541
139.0390824;1115.250209;100;13 _ 205.070541
187.060303;1114.942265;7.466390999;13 _ 205.070541
97.0280875;1115.182109;49.38146254;13 _ 682.3669239
98.03069172;1115.182153;2.906276605;13 _ 682.3669239
99.0800219;1114.869848;3.792084056;13 _ 682.3669239
127.0384291;1115.182153;8.422280489;13 _ 682.3669239
139.0390824;1115.250209;62.70026424;13 _ 682.3669239
145.0505345;1115.405123;2.77369181;13 _ 682.3669239
187.060303;1114.942265;5.194563262;13 _ 682.3669239
205.070541;1115.517989;100;13 _ 682.3669239
206.0739717;1115.205907;7.727372947;13 _ 682.3669239
225.1117346;1116.186503;3.016054084;13 _ 682.3669239
327.1795232;1115.404509;9.833505231;13 _ 682.3669239
328.1831608;1115.712268;2.542487976;13 _ 682.3669239
341.1938072;1115.505581;3.050158832;13 _ 682.3669239
443.2643428;1115.615539;16.98472192;13 _ 682.3669239
444.2671363;1115.291501;4.031954919;13 _ 682.3669239
682.3669239;1115.308513;11.43856328;13 _ 682.3669239
227.0509348;1115.61011;3.107923182;13 _ 687.321938
367.1707268;1115.182064;1.544200434;13 _ 687.321938
483.255668;1115.393981;20.43011313;13 _ 687.321938
484.259732;1115.871549;4.785318791;13 _ 687.321938
571.2364083;1115.378297;3.032656829;13 _ 687.321938
687.321938;1115.371566;100;13 _ 687.321938
99.07950121;1072.083998;31.95644367;14 _ 341.195519
127.0389581;1072.121982;11.20126398;14 _ 341.195519
185.0423412;1071.805957;6.529423533;14 _ 341.195519
225.1120335;1071.973491;19.57453279;14 _ 341.195519
243.1216391;1071.94451;6.14934185;14 _ 341.195519
261.1456184;1072.255602;14.25469234;14 _ 341.195519
341.195519;1071.940318;100;14 _ 341.195519
99.07950121;1072.083998;31.95644367;14 _ 457.2798131
127.0389581;1072.121982;15.80312056;14 _ 457.2798131
185.0423412;1071.805957;6.529423533;14 _ 457.2798131
225.1120335;1071.973491;19.57453279;14 _ 457.2798131
243.1216391;1071.94451;6.14934185;14 _ 457.2798131
261.1456184;1072.255602;14.25469234;14 _ 457.2798131
341.195519;1071.940318;100;14 _ 457.2798131
342.1989327;1071.97948;18.54963039;14 _ 457.2798131
347.2196399;1072.884367;9.022558093;14 _ 457.2798131
382.1902842;1072.496209;9.362594262;14 _ 457.2798131
457.2798131;1071.976107;40.34949083;14 _ 457.2798131
99.07950121;1072.083998;24.14770566;14 _ 654.3703669
127.0389581;1072.121982;23.86927131;14 _ 654.3703669
145.0493175;1072.56612;5.127608784;14 _ 654.3703669
225.1120335;1071.973491;16.12647549;14 _ 654.3703669
243.1216391;1071.94451;5.134959312;14 _ 654.3703669
341.195519;1071.940318;82.38498293;14 _ 654.3703669
342.1989327;1071.97948;9.821795869;14 _ 654.3703669
457.2798131;1071.976107;100;14 _ 654.3703669
458.2832957;1071.814769;25.98546682;14 _ 654.3703669
459.2832132;1071.972405;5.510598092;14 _ 654.3703669
654.3703669;1072.051448;16.55123026;14 _ 654.3703669
99.07950121;1072.083998;9.833949083;14 _ 659.3264075
127.0389581;1072.121982;3.446962397;14 _ 659.3264075
185.0423412;1071.805957;2.009298007;14 _ 659.3264075
243.1216391;1071.94451;1.892335557;14 _ 659.3264075
261.1456184;1072.255602;4.386593206;14 _ 659.3264075
265.1046934;1071.940368;1.503888321;14 _ 659.3264075
347.2196399;1072.884367;2.776509733;14 _ 659.3264075
381.1875991;1072.280854;12.24386342;14 _ 659.3264075
382.1902842;1072.496209;2.881148985;14 _ 659.3264075
497.2713383;1072.295808;73.12163901;14 _ 659.3264075
498.2742895;1072.096363;19.20503728;14 _ 659.3264075
499.2779095;1071.89517;2.863136504;14 _ 659.3264075
659.3264075;1071.98101;100;14 _ 659.3264075
97.02804153;1123.592422;81.81834922;18 _ 205.0704554
139.0389621;1123.752829;100;18 _ 205.0704554
97.02804153;1123.592422;53.73598749;18 _ 682.3664901
99.0796468;1123.220821;3.653034803;18 _ 682.3664901
127.0385759;1124.223933;11.84350825;18 _ 682.3664901
139.0389621;1123.752829;65.67718366;18 _ 682.3664901
145.0499542;1123.442059;3.999739922;18 _ 682.3664901
187.0594072;1123.752829;5.815802965;18 _ 682.3664901
205.0704554;1123.735342;100;18 _ 682.3664901
206.0740697;1123.450867;8.34259025;18 _ 682.3664901
327.1791619;1123.742955;8.79962801;18 _ 682.3664901
443.2652482;1123.565814;15.05555898;18 _ 682.3664901
444.2661518;1123.464278;5.365289136;18 _ 682.3664901
682.3664901;1123.670145;8.584049415;18 _ 682.3664901
227.0505616;1123.461646;4.593309577;18 _ 687.3221784
245.0620208;1121.962907;1.99273981;18 _ 687.3221784
245.0639229;1124.079311;1.920095975;18 _ 687.3221784
367.1709838;1123.584622;6.217193223;18 _ 687.3221784
443.2652482;1123.565814;3.947002161;18 _ 687.3221784
483.255289;1123.431588;23.71706678;18 _ 687.3221784
484.2584194;1123.400215;5.722803021;18 _ 687.3221784
571.2352911;1123.895679;3.21196052;18 _ 687.3221784
687.3221784;1123.735342;100;18 _ 687.3221784
121.0290919;1278.640796;21.22604174;20 _ 279.159697
129.9884821;1277.610718;2.379623716;20 _ 279.159697
133.0870012;1278.68514;3.315693656;20 _ 279.159697
149.0238992;1278.855346;100;20 _ 279.159697
150.0271845;1278.93111;8.194770566;20 _ 279.159697
205.0862777;1278.967718;5.072514244;20 _ 279.159697
279.159697;1278.914546;6.875651435;20 _ 279.159697
133.0870012;1278.68514;20.8586522;20 _ 317.1144628
205.0862777;1278.967718;31.91061098;20 _ 317.1144628
279.159697;1278.914546;23.1988096;20 _ 317.1144628
303.1456217;1278.76421;13.42410885;20 _ 317.1144628
317.1144628;1278.661023;100;20 _ 317.1144628
89.03788524;224.27699;19.00438361;21 _ 163.0393434
107.0500029;223.2290159;15.62167641;21 _ 163.0393434
117.0338164;223.5878063;35.65172255;21 _ 163.0393434
118.0376657;224.6745589;8.872512601;21 _ 163.0393434
135.0445243;223.5302536;100;21 _ 163.0393434
136.048937;223.2336141;18.30106103;21 _ 163.0393434
145.0290746;223.5010386;85.09163531;21 _ 163.0393434
146.0333551;223.2862585;7.809766908;21 _ 163.0393434
89.03788524;224.27699;3.272122591;21 _ 355.1025643
107.0500029;223.2290159;2.689697354;21 _ 355.1025643
117.0338164;223.5878063;15.65429384;21 _ 355.1025643
118.0376657;224.6745589;1.527644859;21 _ 355.1025643
135.0445243;223.5302536;31.93706122;21 _ 355.1025643
136.048937;223.2336141;3.15102644;21 _ 355.1025643
145.0290746;223.5010386;14.96494414;21 _ 355.1025643
146.0333551;223.2862585;1.344664224;21 _ 355.1025643
163.0393434;223.6948182;100;21 _ 355.1025643
164.0427286;224.125533;10.88938001;21 _ 355.1025643
165.0439472;223.519773;1.628715117;21 _ 355.1025643
167.0696371;224.2593618;4.099473482;21 _ 355.1025643
181.0505427;223.8663641;1.63731072;21 _ 355.1025643
337.0911019;223.1242979;1.446495974;21 _ 355.1025643
351.1046473;224.4539331;2.327399891;21 _ 355.1025643
355.1025643;223.8663641;22.31808541;21 _ 355.1025643
89.03788524;224.27699;19.00438361;21 _ 372.128259
107.0500029;223.2290159;15.62167641;21 _ 372.128259
117.0338164;223.5878063;35.65172255;21 _ 372.128259
118.0376657;224.6745589;8.872512601;21 _ 372.128259
135.0445243;223.5302536;100;21 _ 372.128259
136.048937;223.2336141;18.30106103;21 _ 372.128259
145.0290746;223.5010386;85.09163531;21 _ 372.128259
146.0333551;223.2862585;7.809766908;21 _ 372.128259
164.0427286;224.125533;63.24517166;21 _ 372.128259
165.0439472;223.519773;9.459525438;21 _ 372.128259
181.0505427;223.8663641;9.509448424;21 _ 372.128259
337.0911019;223.1242979;8.401202466;21 _ 372.128259
355.1025643;223.8663641;51.41360652;21 _ 372.128259
356.1063025;223.859461;25.69438657;21 _ 372.128259
372.128259;223.5104002;13.49893311;21 _ 372.128259
111.0451642;701.3486336;82.57067997;22 _ 1227.723912
160.1200957;701.178698;81.36745724;22 _ 1227.723912
178.1654706;701.2302392;77.01437686;22 _ 1227.723912
199.1428496;700.687359;75.12734101;22 _ 1227.723912
202.1655307;700.9213397;84.77595227;22 _ 1227.723912
227.1703236;701.5001675;81.99810601;22 _ 1227.723912
237.0771476;701.0019175;77.67339311;22 _ 1227.723912
239.0937698;700.9200793;84.25175447;22 _ 1227.723912
241.182679;701.7226473;83.61608666;22 _ 1227.723912
275.1136271;700.9766107;91.81016192;22 _ 1227.723912
295.2341504;701.0019175;90.93008907;22 _ 1227.723912
325.1129272;701.5642868;85.71127833;22 _ 1227.723912
335.2229075;701.2248607;77.09563186;22 _ 1227.723912
355.2607602;700.9766107;98.16417566;22 _ 1227.723912
397.2717374;701.0291849;80.57343695;22 _ 1227.723912
416.2874038;701.2486323;69.93159029;22 _ 1227.723912
433.2936898;701.2693363;84.58141389;22 _ 1227.723912
436.3154304;701.4128229;71.57340755;22 _ 1227.723912
541.4760601;701.5360943;100;22 _ 1227.723912
581.3658365;701.322692;69.68562217;22 _ 1227.723912
743.4211816;701.2486323;89.36624576;22 _ 1227.723912
91.05287448;701.1845719;2.854642077;22 _ 451.304716
93.06907982;701.5592192;1.232970318;22 _ 451.304716
95.08433799;701.2274458;5.977893788;22 _ 451.304716
97.03075049;701.8443471;2.245202821;22 _ 451.304716
99.04429072;702.4823643;1.16309071;22 _ 451.304716
105.0696767;701.201042;8.563131548;22 _ 451.304716
107.0854205;701.3593887;7.860941855;22 _ 451.304716
108.088666;701.8098658;1.061349478;22 _ 451.304716
109.1011212;701.3593887;11.57321469;22 _ 451.304716
110.1044975;701.3443464;1.386322882;22 _ 451.304716
111.0451642;701.3486336;1.136116588;22 _ 451.304716
119.0855451;701.3059364;13.54889565;22 _ 451.304716
120.0886363;701.4931902;1.248523451;22 _ 451.304716
121.1015183;701.4435368;13.16182599;22 _ 451.304716
123.1164289;701.2486323;2.342405629;22 _ 451.304716
127.0402062;701.5425464;2.59493945;22 _ 451.304716
129.0546318;701.2123805;24.45204348;22 _ 451.304716
130.0586713;701.5114162;1.575257619;22 _ 451.304716
133.1006553;701.3604398;3.117373072;22 _ 451.304716
135.1165842;701.2394394;5.16839136;22 _ 451.304716
136.1199582;701.8443471;1.18641456;22 _ 451.304716
137.1308544;701.081759;1.843274674;22 _ 451.304716
145.0523742;701.2248607;5.685997002;22 _ 451.304716
147.0665321;701.2900402;29.90825147;22 _ 451.304716
148.0703162;701.6353117;1.997764262;22 _ 451.304716
149.1318041;701.2486323;6.045840316;22 _ 451.304716
150.1350623;701.2274458;1.25018114;22 _ 451.304716
